date,team1,team2,venue,toss_winner,toss_decision,match_type,season,winner,team1_won,toss_winner_is_team1,team1_historical_win_rate,team2_historical_win_rate,team1_recent_win_rate,team2_recent_win_rate,team1_h2h_win_rate,team2_h2h_win_rate,team1_venue_win_rate,team2_venue_win_rate,team1_historical_sample_size,team2_historical_sample_size,team1_h2h_sample_size,team2_h2h_sample_size,team1_venue_sample_size,team2_venue_sample_size,team1_h2h_reliability,team2_h2h_reliability,team1_venue_reliability,team2_venue_reliability
2015-08-01,Sri Lanka,Pakistan,R Premadasa Stadium,Sri Lanka,bat,T20,2015,Pakistan,0,1,0.625,0.6024096385542169,0.8,0.6,0.3846153846153846,0.6153846153846154,0.125,0.6666666666666666,64,83,13,13,8,6,MEDIUM,MEDIUM,MEDIUM,MEDIUM
2015-08-09,Zimbabwe,New Zealand,Harare Sports Club,Zimbabwe,field,T20,2015,New Zealand,0,1,0.2,0.4931506849315068,0.4,0.4,0.0,1.0,0.1,1.0,30,73,5,5,10,2,MEDIUM,MEDIUM,MEDIUM,LOW
2015-08-14,South Africa,New Zealand,Kingsmead,South Africa,field,T20,2015,South Africa,1,1,0.5866666666666667,0.5,0.6,0.4,0.75,0.25,0.6,0.5,75,74,12,12,5,4,MEDIUM,MEDIUM,MEDIUM,LOW
2015-08-16,South Africa,New Zealand,SuperSport Park,New Zealand,bat,T20,2015,New Zealand,0,0,0.5921052631578947,0.4933333333333333,0.8,0.4,0.7692307692307693,0.2307692307692307,0.5,0.5,76,75,13,13,4,0,MEDIUM,MEDIUM,LOW,LOW
2015-08-31,England,Australia,Sophia Gardens,Australia,field,T20,2015,England,1,0,0.4857142857142857,0.5405405405405406,0.4,0.8,0.3636363636363636,0.6363636363636364,1.0,0.5,70,74,11,11,2,0,MEDIUM,MEDIUM,LOW,LOW
2015-09-27,Zimbabwe,Pakistan,Harare Sports Club,Pakistan,bat,T20,2015/16,Pakistan,0,0,0.1935483870967742,0.6071428571428571,0.2,0.8,0.0,1.0,0.0909090909090909,1.0,31,84,6,6,11,4,MEDIUM,MEDIUM,MEDIUM,LOW
2015-09-29,Zimbabwe,Pakistan,Harare Sports Club,Pakistan,bat,T20,2015/16,Pakistan,0,0,0.1875,0.611764705882353,0.2,1.0,0.0,1.0,0.0833333333333333,1.0,32,85,7,7,12,5,MEDIUM,MEDIUM,MEDIUM,MEDIUM
2015-10-02,India,South Africa,Himachal Pradesh Cricket Association Stadium,South Africa,field,T20,2015/16,South Africa,0,0,0.5686274509803921,0.5844155844155844,0.4,0.8,0.75,0.25,0.5,0.5,51,77,8,8,0,0,MEDIUM,MEDIUM,LOW,LOW
2015-10-05,India,South Africa,Barabati Stadium,South Africa,field,T20,2015/16,South Africa,0,0,0.5576923076923077,0.5897435897435898,0.2,0.8,0.6666666666666666,0.3333333333333333,0.5,0.5,52,78,9,9,0,0,MEDIUM,MEDIUM,LOW,LOW
2015-11-09,Sri Lanka,West Indies,Pallekele International Cricket Stadium,West Indies,field,T20,2015/16,Sri Lanka,1,0,0.6153846153846154,0.5,0.6,0.6,0.8333333333333334,0.1666666666666666,0.8571428571428571,0.5,65,64,6,6,7,2,MEDIUM,MEDIUM,MEDIUM,LOW
2015-11-11,Sri Lanka,West Indies,R Premadasa Stadium,West Indies,bat,T20,2015/16,West Indies,0,0,0.6212121212121212,0.4923076923076923,0.6,0.6,0.8571428571428571,0.1428571428571428,0.1111111111111111,0.6666666666666666,66,65,7,7,9,3,MEDIUM,MEDIUM,MEDIUM,LOW
2015-11-13,Bangladesh,Zimbabwe,Shere Bangla National Stadium,Bangladesh,field,T20,2015/16,Bangladesh,1,1,0.2105263157894736,0.1818181818181818,0.2,0.2,0.5,0.5,0.1818181818181818,0.5,38,33,2,2,11,0,LOW,LOW,MEDIUM,LOW
2015-11-15,Bangladesh,Zimbabwe,Shere Bangla National Stadium,Bangladesh,bat,T20,2015/16,Zimbabwe,0,1,0.2307692307692307,0.1764705882352941,0.4,0.2,0.6666666666666666,0.3333333333333333,0.25,0.0,39,34,3,3,12,1,LOW,LOW,MEDIUM,LOW
2015-11-21,Hong Kong,Oman,Sheikh Zayed Stadium,Oman,field,T20,2015/16,Oman,0,0,0.6666666666666666,0.5,0.8,0.5,0.5,0.5,0.5,0.5,6,0,0,0,0,0,LOW,LOW,LOW,LOW
2015-11-22,United Arab Emirates,Oman,Sheikh Zayed Stadium,United Arab Emirates,field,T20,2015/16,United Arab Emirates,1,1,0.0,1.0,0.0,1.0,0.5,0.5,0.5,1.0,5,1,0,0,0,1,LOW,LOW,LOW,LOW
2015-11-25,Hong Kong,Oman,Sheikh Zayed Stadium,Hong Kong,field,T20,2015/16,Oman,0,1,0.5714285714285714,0.5,0.6,0.5,0.0,1.0,0.0,0.5,7,2,1,1,1,2,LOW,LOW,LOW,LOW
2015-11-26,Hong Kong,Oman,Sheikh Zayed Stadium,Hong Kong,field,T20,2015/16,Hong Kong,1,1,0.5,0.6666666666666666,0.4,0.6666666666666666,0.0,1.0,0.0,0.6666666666666666,8,3,2,2,2,3,LOW,LOW,LOW,LOW
2015-11-26,England,Pakistan,Dubai International Cricket Stadium,England,bat,T20,2015/16,England,1,1,0.4929577464788732,0.6162790697674418,0.6,1.0,0.7,0.3,0.5,0.5,71,86,10,10,4,16,MEDIUM,MEDIUM,LOW,MEDIUM
2015-11-27,England,Pakistan,Dubai International Cricket Stadium,England,bat,T20,2015/16,England,1,1,0.5,0.6091954022988506,0.8,0.8,0.7272727272727273,0.2727272727272727,0.6,0.4705882352941176,72,87,11,11,5,17,MEDIUM,MEDIUM,MEDIUM,MEDIUM
2016-01-07,New Zealand,Sri Lanka,Bay Oval,Sri Lanka,field,T20,2015/16,New Zealand,1,0,0.5,0.6119402985074627,0.6,0.4,0.4545454545454545,0.5454545454545454,0.5,0.5,76,67,11,11,0,0,MEDIUM,MEDIUM,LOW,LOW
2016-01-10,New Zealand,Sri Lanka,Eden Park,New Zealand,field,T20,2015/16,New Zealand,1,1,0.5064935064935064,0.6029411764705882,0.6,0.2,0.5,0.5,0.5,0.0,77,68,12,12,8,1,MEDIUM,MEDIUM,MEDIUM,LOW
2016-01-15,Bangladesh,Zimbabwe,Sheikh Abu Naser Stadium,Zimbabwe,bat,T20,2015/16,Bangladesh,1,0,0.225,0.2,0.4,0.2,0.5,0.5,0.5,0.5,40,35,4,4,0,0,LOW,LOW,LOW,LOW
2016-01-15,New Zealand,Pakistan,Eden Park,New Zealand,field,T20,2015/16,Pakistan,0,1,0.5128205128205128,0.6022727272727273,0.8,0.6,0.3636363636363636,0.6363636363636364,0.5555555555555556,0.0,78,88,11,11,9,1,MEDIUM,MEDIUM,MEDIUM,LOW
2016-01-17,New Zealand,Pakistan,Seddon Park,Pakistan,bat,T20,2015/16,New Zealand,1,0,0.5063291139240507,0.6067415730337079,0.6,0.6,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.0,79,89,12,12,6,1,MEDIUM,MEDIUM,MEDIUM,LOW
2016-01-17,Bangladesh,Zimbabwe,Sheikh Abu Naser Stadium,Bangladesh,bat,T20,2015/16,Bangladesh,1,1,0.2439024390243902,0.1944444444444444,0.4,0.2,0.6,0.4,1.0,0.0,41,36,5,5,1,1,MEDIUM,MEDIUM,LOW,LOW
2016-01-20,Bangladesh,Zimbabwe,Sheikh Abu Naser Stadium,Zimbabwe,bat,T20,2015/16,Zimbabwe,0,0,0.2619047619047619,0.1891891891891892,0.6,0.2,0.6666666666666666,0.3333333333333333,1.0,0.0,42,37,6,6,2,2,MEDIUM,MEDIUM,LOW,LOW
2016-01-22,New Zealand,Pakistan,Westpac Stadium,Pakistan,field,T20,2015/16,New Zealand,1,0,0.5125,0.6,0.8,0.4,0.3846153846153846,0.6153846153846154,0.5,0.5,80,90,13,13,6,0,MEDIUM,MEDIUM,MEDIUM,LOW
