date,team1,team2,venue,toss_winner,toss_decision,match_type,season,winner,team1_won,toss_winner_is_team1,team1_historical_win_rate,team2_historical_win_rate,team1_recent_win_rate,team2_recent_win_rate,team1_h2h_win_rate,team2_h2h_win_rate,team1_venue_win_rate,team2_venue_win_rate
2010-02-10,Canada,Kenya,Dubai International Cricket Stadium,Kenya,field,T20,2009/10,Kenya,0,0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5
2010-02-11,Ireland,Scotland,Dubai International Cricket Stadium,Ireland,bat,T20,2009/10,Ireland,1,1,0.3333333333333333,0.2,0.2,0.2,0.5,0.5,0.5,0.5
2010-02-13,Ireland,Netherlands,Dubai International Cricket Stadium,Ireland,bat,T20,2009/10,Ireland,1,1,0.42857142857142855,0.75,0.2,0.75,0.5,0.5,1.0,1.0
2010-02-19,England,Pakistan,Dubai International Cricket Stadium,Pakistan,bat,T20,2009/10,England,1,0,0.4090909090909091,0.7916666666666666,0.4,0.8,0.5,0.5,0.5,1.0
2010-02-20,England,Pakistan,Dubai International Cricket Stadium,Pakistan,field,T20,2009/10,Pakistan,0,0,0.43478260869565216,0.76,0.6,0.6,0.6666666666666666,0.3333333333333333,1.0,0.75
2010-02-21,Australia,West Indies,Bellerive Oval,Australia,bat,T20,2009/10,Australia,1,1,0.5,0.5,0.2,0.6,0.0,1.0,0.5,0.5
2010-02-23,Australia,West Indies,Sydney Cricket Ground,West Indies,bat,T20,2009/10,Australia,1,0,0.52,0.47058823529411764,0.4,0.4,0.3333333333333333,0.6666666666666666,1.0,0.5
2010-02-26,New Zealand,Australia,Westpac Stadium,New Zealand,bat,T20,2009/10,Australia,0,1,0.4482758620689655,0.5384615384615384,0.6,0.6,0.0,1.0,0.5,0.5
2010-02-28,West Indies,Zimbabwe,"Queen's Park Oval, Port of Spain",Zimbabwe,bat,T20,2009/10,Zimbabwe,0,0,0.4444444444444444,0.5,0.4,0.5,0.5,0.5,1.0,0.5
2010-04-30,New Zealand,Sri Lanka,Providence Stadium,Sri Lanka,bat,T20,2010,New Zealand,1,0,0.43333333333333335,0.5652173913043478,0.4,0.2,0.5,0.5,0.5,0.5
2010-04-30,West Indies,Ireland,Providence Stadium,West Indies,bat,T20,2010,West Indies,1,1,0.42105263157894735,0.5,0.2,0.4,0.5,0.5,0.5,0.5
2010-05-01,Bangladesh,Pakistan,"Beausejour Stadium, Gros Islet",Pakistan,bat,T20,2010,Pakistan,0,0,0.15384615384615385,0.7692307692307693,0.0,0.6,0.0,1.0,0.5,0.5
2010-05-02,India,South Africa,"Beausejour Stadium, Gros Islet",South Africa,field,T20,2010,India,1,0,0.5555555555555556,0.64,0.2,0.6,0.6666666666666666,0.3333333333333333,0.5,0.5
2010-05-02,Australia,Pakistan,"Beausejour Stadium, Gros Islet",Australia,bat,T20,2010,Australia,1,1,0.5555555555555556,0.7777777777777778,0.8,0.6,0.3333333333333333,0.6666666666666666,0.5,1.0
2010-05-03,West Indies,England,Providence Stadium,West Indies,field,T20,2010,West Indies,1,1,0.45,0.4166666666666667,0.4,0.4,0.75,0.25,1.0,0.5
2010-05-03,Sri Lanka,Zimbabwe,Providence Stadium,Sri Lanka,bat,T20,2010,Sri Lanka,1,1,0.5416666666666666,0.6666666666666666,0.2,0.6666666666666666,0.5,0.5,0.0,0.5
2010-05-04,New Zealand,Zimbabwe,Providence Stadium,New Zealand,field,T20,2010,New Zealand,1,1,0.45161290322580644,0.5,0.4,0.5,0.5,0.5,1.0,0.0
2010-05-05,Australia,Bangladesh,"Kensington Oval, Bridgetown",Australia,bat,T20,2010,Australia,1,1,0.5714285714285714,0.14285714285714285,1.0,0.0,1.0,0.0,0.0,0.5
2010-05-06,England,Pakistan,"Kensington Oval, Bridgetown",England,field,T20,2010,England,1,1,0.4,0.75,0.4,0.4,0.5,0.5,0.5,0.5
2010-05-06,New Zealand,South Africa,"Kensington Oval, Bridgetown",South Africa,bat,T20,2010,South Africa,0,0,0.46875,0.6153846153846154,0.6,0.4,0.25,0.75,0.5,0.5
2010-05-07,West Indies,Sri Lanka,"Kensington Oval, Bridgetown",Sri Lanka,bat,T20,2010,Sri Lanka,0,0,0.47619047619047616,0.56,0.4,0.4,0.0,1.0,1.0,0.5
2010-05-07,Australia,India,"Kensington Oval, Bridgetown",India,field,T20,2010,Australia,1,0,0.5862068965517241,0.5789473684210527,1.0,0.4,0.3333333333333333,0.6666666666666666,0.5,0.5
2010-05-08,England,South Africa,"Kensington Oval, Bridgetown",England,bat,T20,2010,England,1,1,0.4230769230769231,0.6296296296296297,0.4,0.4,0.25,0.75,1.0,1.0
2010-05-08,New Zealand,Pakistan,"Kensington Oval, Bridgetown",Pakistan,field,T20,2010,New Zealand,1,0,0.45454545454545453,0.7241379310344828,0.6,0.4,0.0,1.0,0.0,0.0
2010-05-09,Australia,Sri Lanka,"Kensington Oval, Bridgetown",Australia,bat,T20,2010,Australia,1,1,0.6,0.5769230769230769,1.0,0.6,0.5,0.5,0.6666666666666666,1.0
2010-05-09,West Indies,India,"Kensington Oval, Bridgetown",India,field,T20,2010,West Indies,1,0,0.45454545454545453,0.55,0.4,0.4,1.0,0.0,0.5,0.0
2010-05-10,England,New Zealand,"Beausejour Stadium, Gros Islet",New Zealand,bat,T20,2010,England,1,0,0.4444444444444444,0.47058823529411764,0.6,0.6,0.75,0.25,0.5,0.5
2010-05-10,Pakistan,South Africa,"Beausejour Stadium, Gros Islet",Pakistan,bat,T20,2010,Pakistan,1,1,0.7,0.6071428571428571,0.4,0.4,1.0,0.0,0.5,0.0
2010-05-11,West Indies,Australia,"Beausejour Stadium, Gros Islet",West Indies,bat,T20,2010,Australia,0,1,0.4782608695652174,0.6129032258064516,0.6,1.0,0.5,0.5,0.5,1.0
2010-05-11,India,Sri Lanka,"Beausejour Stadium, Gros Islet",India,bat,T20,2010,Sri Lanka,0,1,0.5238095238095238,0.5555555555555556,0.4,0.4,0.6666666666666666,0.3333333333333333,1.0,0.5
2010-05-13,England,Sri Lanka,"Beausejour Stadium, Gros Islet",Sri Lanka,bat,T20,2010,England,1,0,0.4642857142857143,0.5714285714285714,0.6,0.6,0.0,1.0,1.0,1.0
2010-05-14,Australia,Pakistan,"Beausejour Stadium, Gros Islet",Australia,field,T20,2010,Australia,1,1,0.625,0.7096774193548387,1.0,0.4,0.5,0.5,1.0,0.6666666666666666
2010-05-16,Australia,England,"Kensington Oval, Bridgetown",England,field,T20,2010,England,0,0,0.6363636363636364,0.4827586206896552,1.0,0.8,0.6666666666666666,0.3333333333333333,0.75,1.0
2010-05-19,West Indies,South Africa,"Sir Vivian Richards Stadium, North Sound",West Indies,field,T20,2010,South Africa,0,1,0.4583333333333333,0.5862068965517241,0.6,0.4,0.25,0.75,0.5,0.5
2010-05-20,West Indies,South Africa,"Sir Vivian Richards Stadium, North Sound",West Indies,field,T20,2010,South Africa,0,1,0.44,0.6,0.4,0.4,0.2,0.8,0.0,1.0
2010-05-22,New Zealand,Sri Lanka,Central Broward Regional Park Stadium Turf Ground,New Zealand,bat,T20,2010,New Zealand,1,1,0.45714285714285713,0.5517241379310345,0.6,0.6,0.5714285714285714,0.42857142857142855,0.5,0.5
2010-05-23,New Zealand,Sri Lanka,Central Broward Regional Park Stadium Turf Ground,New Zealand,bat,T20,2010,Sri Lanka,0,1,0.4722222222222222,0.5333333333333333,0.6,0.4,0.625,0.375,1.0,0.0
