date,team1,team2,venue,toss_winner,toss_decision,match_type,season,winner
2023-10-22,Hong Kong,United Arab Emirates,Mulpani Cricket Ground,United Arab Emirates,field,T20,2023/24,United Arab Emirates
2023-10-23,United Arab Emirates,Nepal,Mulpani Cricket Ground,Nepal,field,T20,2023/24,Nepal
2023-10-24,Zimbabwe,Namibia,"Wanderers Cricket Ground, Windhoek",Zimbabwe,bat,T20,2023/24,Namibia
2023-10-25,Namibia,Zimbabwe,"Wanderers Cricket Ground, Windhoek",Zimbabwe,field,T20,2023/24,Zimbabwe
2023-10-25,Hong Kong,United Arab Emirates,Mulpani Cricket Ground,Hong Kong,bat,T20,2023/24,Hong Kong
2023-10-27,Namibia,Zimbabwe,"United Cricket Club Ground, Windhoek",Namibia,bat,T20,2023/24,Zimbabwe
2023-10-27,Nepal,United Arab Emirates,"Tribhuvan University International Cricket Ground, Kirtipur",United Arab Emirates,field,T20,2023/24,United Arab Emirates
2023-10-29,Zimbabwe,Namibia,"United Cricket Club Ground, Windhoek",Zimbabwe,bat,T20,2023/24,Namibia
2023-10-30,Hong Kong,Kuwait,Mulpani Cricket Ground,Kuwait,field,T20,2023/24,Hong Kong
2023-10-30,Namibia,Zimbabwe,"United Cricket Club Ground, Windhoek",Zimbabwe,field,T20,2023/24,Namibia
2023-10-30,Oman,Malaysia,"Tribhuvan University International Cricket Ground, Kirtipur",Oman,bat,T20,2023/24,Oman
2023-10-30,Singapore,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Singapore,bat,T20,2023/24,Nepal
2023-10-30,Bahrain,United Arab Emirates,Mulpani Cricket Ground,United Arab Emirates,field,T20,2023/24,United Arab Emirates
2023-10-31,Oman,Singapore,"Tribhuvan University International Cricket Ground, Kirtipur",Singapore,field,T20,2023/24,Oman
2023-10-31,Bahrain,Hong Kong,Mulpani Cricket Ground,Hong Kong,field,T20,2023/24,Bahrain
2023-10-31,Malaysia,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Malaysia,bat,T20,2023/24,Nepal
2023-10-31,Kuwait,United Arab Emirates,Mulpani Cricket Ground,Kuwait,bat,T20,2023/24,United Arab Emirates
2023-11-02,Bahrain,Kuwait,Mulpani Cricket Ground,Kuwait,field,T20,2023/24,Kuwait
2023-11-02,Malaysia,Singapore,"Tribhuvan University International Cricket Ground, Kirtipur",Malaysia,bat,T20,2023/24,Malaysia
2023-11-02,United Arab Emirates,Hong Kong,Mulpani Cricket Ground,Hong Kong,field,T20,2023/24,United Arab Emirates
2023-11-02,Oman,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,field,T20,2023/24,Oman
2023-11-03,Bahrain,Oman,"Tribhuvan University International Cricket Ground, Kirtipur",Bahrain,bat,T20,2023/24,Oman
2023-11-03,United Arab Emirates,Nepal,Mulpani Cricket Ground,United Arab Emirates,bat,T20,2023/24,Nepal
2023-11-05,Nepal,Oman,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,bat,T20,2023/24,No Result
2023-11-20,Cambodia,Indonesia,Udayana Cricket Ground,Cambodia,bat,T20,2023/24,Indonesia
2023-11-20,Cambodia,Indonesia,Udayana Cricket Ground,Cambodia,bat,T20,2023/24,Indonesia
2023-11-21,Indonesia,Cambodia,Udayana Cricket Ground,Cambodia,field,T20,2023/24,Cambodia
2023-11-21,Indonesia,Cambodia,Udayana Cricket Ground,Cambodia,field,T20,2023/24,Indonesia
2023-11-22,Indonesia,Cambodia,Udayana Cricket Ground,Cambodia,field,T20,2023/24,Cambodia
2023-11-22,Tanzania,Uganda,"Wanderers Cricket Ground, Windhoek",Uganda,field,T20,2023/24,Uganda
2023-11-22,Kenya,Rwanda,"United Cricket Club Ground, Windhoek",Rwanda,field,T20,2023/24,Kenya
2023-11-22,Zimbabwe,Namibia,"Wanderers Cricket Ground, Windhoek",Namibia,field,T20,2023/24,Namibia
2023-11-23,Cambodia,Indonesia,Udayana Cricket Ground,Indonesia,field,T20,2023/24,Indonesia
2023-11-23,Tanzania,Zimbabwe,"United Cricket Club Ground, Windhoek",Zimbabwe,field,T20,2023/24,Zimbabwe
2023-11-23,Australia,India,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",India,field,T20,2023/24,India
2023-11-23,Nigeria,Kenya,"United Cricket Club Ground, Windhoek",Kenya,field,T20,2023/24,Kenya
2023-11-24,Nigeria,Rwanda,"Wanderers Cricket Ground, Windhoek",Rwanda,field,T20,2023/24,No Result
2023-11-24,Uganda,Namibia,"Wanderers Cricket Ground, Windhoek",Namibia,field,T20,2023/24,Namibia
2023-11-25,Namibia,Rwanda,"Wanderers Cricket Ground, Windhoek",Rwanda,field,T20,2023/24,Namibia
2023-11-25,Kenya,Tanzania,"Wanderers Cricket Ground, Windhoek",Tanzania,field,T20,2023/24,Kenya
2023-11-26,Zimbabwe,Uganda,"United Cricket Club Ground, Windhoek",Uganda,field,T20,2023/24,Uganda
2023-11-26,Tanzania,Nigeria,"United Cricket Club Ground, Windhoek",Tanzania,bat,T20,2023/24,Nigeria
2023-11-26,India,Australia,"Greenfield International Stadium, Thiruvananthapuram",Australia,field,T20,2023/24,India
2023-11-27,Kenya,Namibia,"United Cricket Club Ground, Windhoek",Namibia,field,T20,2023/24,Namibia
2023-11-27,Zimbabwe,Rwanda,"Wanderers Cricket Ground, Windhoek",Rwanda,field,T20,2023/24,Zimbabwe
2023-11-27,Nigeria,Uganda,"United Cricket Club Ground, Windhoek",Nigeria,bat,T20,2023/24,Uganda
2023-11-28,Namibia,Tanzania,"Wanderers Cricket Ground, Windhoek",Tanzania,field,T20,2023/24,Namibia
2023-11-28,India,Australia,"Barsapara Cricket Stadium, Guwahati",Australia,field,T20,2023/24,Australia
2023-11-29,Uganda,Kenya,"Wanderers Cricket Ground, Windhoek",Uganda,bat,T20,2023/24,Uganda
2023-11-29,Nigeria,Zimbabwe,"United Cricket Club Ground, Windhoek",Nigeria,bat,T20,2023/24,Zimbabwe
2023-11-29,Tanzania,Rwanda,"Wanderers Cricket Ground, Windhoek",Rwanda,field,T20,2023/24,Tanzania
2023-11-30,Rwanda,Uganda,"Wanderers Cricket Ground, Windhoek",Uganda,field,T20,2023/24,Uganda
2023-11-30,Zimbabwe,Kenya,"United Cricket Club Ground, Windhoek",Kenya,field,T20,2023/24,Zimbabwe
